BP-NN
Epoch,Run 2,Run 3,Run 4,Run 5,Run 12,Run 14,Run 24,Run 26,Run 28,Run 32,Run 33,Run 35,Run 48,Mean
42,0.0093,0.01,0.0111,0.0123,0.0121,0.0116,0.0115,0.0125,0.0123,0.0113,0.0126,0.0124,0.0124,0.011646153846153846
43,0.009,0.0097,0.0108,0.0118,0.0117,0.0112,0.0111,0.0121,0.0119,0.011,0.0122,0.012,0.012,0.011269230769230771
44,0.0088,0.0094,0.0104,0.0114,0.0114,0.0109,0.0108,0.0117,0.0115,0.0106,0.0118,0.0116,0.0116,0.010915384615384615
45,0.0085,0.0091,0.0101,0.0111,0.011,0.0105,0.0104,0.0114,0.0111,0.0103,0.0114,0.0113,0.0113,0.010576923076923078
46,0.0083,0.0089,0.0098,0.0107,0.0107,0.0102,0.0101,0.011,0.0108,0.01,0.011,0.0109,0.0109,0.010253846153846152
47,0.008,0.0086,0.0096,0.0104,0.0104,0.0099,0.0098,0.0107,0.0105,0.0097,0.0107,0.0106,0.0106,0.009961538461538463
48,0.0078,0.0084,0.0093,0.0101,0.0101,0.0096,0.0095,0.0104,0.0102,0.0094,0.0103,0.0103,0.0103,0.00966923076923077
49,0.0076,0.0081,0.0091,0.0098,0.0098,0.0093,0.0093,0.0101,0.0099,0.0092,0.01,0.0101,0.0101,0.009415384615384615
50,0.0074,0.0079,0.0088,0.0095,0.0095,0.0091,0.009,0.0099,0.0096,0.0089,0.0097,0.0098,0.0098,0.009146153846153847

GA-NN
Epoch,Run 2,Run 3,Run 4,Run 6,Run 8,Run 26,Run 35,Run 37,Run 38,Run 39,Run 43,Run 47,Run 49,Mean
1,0.6973,0.6937,0.5022,0.4003,0.6269,0.6412,0.6152,0.6834,0.6716,0.5623,0.5859,0.6102,0.4314,0.5939692307692307
2,0.6227,0.4858,0.5022,0.3855,0.6004,0.5732,0.5329,0.6256,0.6607,0.5623,0.5859,0.5065,0.4169,0.543123076923077
