BP-NN
Epoch,Run 2,Run 4,Run 8,Run 18,Run 21,Run 22,Run 39,Run 43,Run 44,Run 50,Mean
4,0.3302,0.4334,0.339,0.4414,0.3357,0.5522,0.3135,0.3692,0.3061,0.375,0.37957
5,0.3147,0.4334,0.21,0.4414,0.3098,0.5522,0.3135,0.3692,0.2841,0.363,0.35913000000000006
6,0.3107,0.4031,0.2099,0.4093,0.3088,0.4101,0.3096,0.3692,0.2301,0.3523,0.33131
7,0.3107,0.3599,0.1866,0.4093,0.2303,0.4101,0.3031,0.2776,0.2219,0.3237,0.30332000000000003
8,0.2631,0.3455,0.1866,0.4093,0.2303,0.4101,0.3031,0.2776,0.2198,0.3232,0.29686
9,0.2631,0.3455,0.1768,0.3769,0.2303,0.4101,0.3031,0.2672,0.2198,0.28,0.2872800000000001
10,0.2562,0.3366,0.1733,0.3769,0.2303,0.4101,0.3031,0.2672,0.2198,0.2679,0.28414
11,0.2562,0.3265,0.1733,0.3417,0.2303,0.3684,0.3031,0.2672,0.2198,0.2679,0.27544
12,0.2562,0.3265,0.1733,0.3417,0.2303,0.3532,0.3031,0.2672,0.2198,0.2679,0.27392000000000005
13,0.2562,0.3055,0.1733,0.3114,0.2303,0.3492,0.3031,0.2672,0.2094,0.2679,0.26735000000000003
14,0.2351,0.3055,0.1733,0.3114,0.2303,0.298,0.3031,0.266,0.1999,0.2679,0.25905
15,0.2351,0.2995,0.1733,0.3114,0.2303,0.298,0.285,0.266,0.1999,0.2457,0.25442
16,0.2351,0.2991,0.1733,0.3114,0.2303,0.2761,0.285,0.266,0.1866,0.2457,0.25085999999999997
17,0.2351,0.2959,0.1733,0.3114,0.2225,0.2549,0.285,0.262,0.1866,0.2303,0.24569999999999997
18,0.2351,0.2654,0.1733,0.3114,0.2225,0.2514,0.285,0.2428,0.1866,0.2303,0.24038000000000004
19,0.2351,0.2544,0.1733,0.3039,0.2196,0.2381,0.285,0.2428,0.1819,0.2303,0.23644000000000004
20,0.2232,0.2544,0.1728,0.2783,0.1972,0.2381,0.285,0.2428,0.1819,0.2303,0.23040000000000002
21,0.2211,0.2243,0.1728,0.2483,0.1972,0.2339,0.2556,0.2428,0.1819,0.2146,0.21925
22,0.2211,0.2243,0.1728,0.2483,0.1722,0.2339,0.2556,0.2428,0.1819,0.2146,0.21675
23,0.2211,0.2243,0.1728,0.2483,0.1722,0.2339,0.2556,0.2,0.1811,0.1971,0.21064000000000002
24,0.2211,0.1942,0.169,0.2348,0.1722,0.2339,0.2556,0.2,0.1811,0.1971,0.20590000000000003
25,0.2211,0.1942,0.1657,0.233,0.1722,0.22,0.2556,0.2,0.1811,0.1971,0.20400000000000001
26,0.2211,0.1942,0.162,0.233,0.169,0.22,0.2556,0.2,0.1719,0.1971,0.20239
27,0.2211,0.1903,0.162,0.233,0.1629,0.22,0.2556,0.2,0.1719,0.1971,0.20139
28,0.2189,0.1814,0.162,0.2263,0.1464,0.22,0.2556,0.2,0.1719,0.1971,0.19796
29,0.2189,0.1677,0.162,0.2011,0.1464,0.22,0.2556,0.2,0.1719,0.1971,0.19407000000000002
30,0.2189,0.1647,0.1587,0.2011,0.1464,0.22,0.2137,0.2,0.1719,0.1971,0.18925
31,0.2164,0.1647,0.1587,0.1723,0.1464,0.22,0.2137,0.2,0.1719,0.1921,0.18561999999999998
32,0.2164,0.1647,0.1587,0.1723,0.1464,0.22,0.2137,0.1871,0.1719,0.1921,0.18432999999999997
33,0.2164,0.1647,0.1587,0.1723,0.1464,0.2119,0.2137,0.1871,0.1719,0.1696,0.18127
34,0.2085,0.1647,0.1587,0.1723,0.1464,0.2119,0.2137,0.1871,0.1667,0.1696,0.17995999999999998
35,0.2085,0.1647,0.1488,0.1723,0.1464,0.2044,0.2137,0.1871,0.1667,0.1696,0.17822
36,0.2085,0.1642,0.1488,0.1723,0.1464,0.2044,0.2137,0.1851,0.1667,0.1696,0.17797000000000002
37,0.2085,0.1642,0.1488,0.1723,0.1464,0.2044,0.2104,0.1708,0.1667,0.1696,0.17621
38,0.1971,0.1587,0.1488,0.1723,0.1464,0.1798,0.2059,0.1708,0.1623,0.1696,0.17117
39,0.1908,0.1559,0.1488,0.1723,0.1464,0.1777,0.2059,0.1708,0.1623,0.1696,0.17004999999999998
40,0.1908,0.1559,0.1488,0.1723,0.1464,0.1777,0.2059,0.1708,0.1623,0.1617,0.16926
41,0.1908,0.1492,0.1488,0.1723,0.1464,0.1777,0.184,0.1708,0.1623,0.1617,0.1664
42,0.1908,0.1491,0.1488,0.1723,0.1464,0.1777,0.184,0.1708,0.1623,0.1617,0.16639
43,0.1872,0.1491,0.1488,0.1723,0.1464,0.1771,0.184,0.1688,0.1623,0.1617,0.16577
