BP-NN
Epoch,Run 8,Run 16,Run 22,Run 36,Run 39,Run 40,Run 41,Run 44,Run 45,Run 46,Run 48,Run 49,Run 50,Mean
42,0.0727,0.0792,0.0781,0.0659,0.0766,0.0804,0.0843,0.0684,0.0812,0.0824,0.0823,0.0736,0.0759,0.07700000000000001
43,0.0719,0.0782,0.0772,0.0651,0.0758,0.0794,0.0836,0.0676,0.0805,0.0815,0.0814,0.0729,0.0748,0.07614615384615385
44,0.0711,0.0772,0.0764,0.0643,0.075,0.0784,0.0829,0.0668,0.0798,0.0806,0.0806,0.0722,0.0736,0.0753
45,0.0704,0.0762,0.0756,0.0635,0.0742,0.0775,0.0823,0.066,0.0791,0.0798,0.0798,0.0715,0.0726,0.0745
46,0.0697,0.0753,0.0748,0.0628,0.0734,0.0767,0.0816,0.0652,0.0784,0.0791,0.079,0.0708,0.0715,0.07371538461538461
47,0.069,0.0744,0.0741,0.0621,0.0727,0.0758,0.081,0.0645,0.0778,0.0783,0.0783,0.0701,0.0705,0.07296923076923077
48,0.0683,0.0735,0.0734,0.0614,0.072,0.075,0.0804,0.0638,0.0772,0.0776,0.0776,0.0695,0.0696,0.07225384615384615
49,0.0677,0.0726,0.0727,0.0608,0.0713,0.0743,0.0799,0.0632,0.0766,0.0769,0.0769,0.0689,0.0687,0.07157692307692307
50,0.067,0.0718,0.0721,0.0601,0.0707,0.0735,0.0793,0.0625,0.076,0.0762,0.0762,0.0683,0.0678,0.07088461538461538

GA-NN
Epoch,Run 10,Run 11,Run 18,Run 21,Run 22,Run 25,Run 26,Run 28,Run 31,Run 35,Run 39,Run 40,Run 43,Mean
1,0.4938,0.6245,0.5743,0.5668,0.5712,0.6383,0.6056,0.5213,0.5211,0.6106,0.5643,0.5721,0.5572,0.5708538461538462
2,0.4815,0.4951,0.529,0.4517,0.4597,0.4839,0.4585,0.506,0.4402,0.5084,0.4551,0.4469,0.5524,0.4821846153846154
3,0.3996,0.3554,0.5064,0.4381,0.4597,0.4839,0.4465,0.4397,0.4398,0.2859,0.4513,0.4469,0.4019,0.42731538461538465
4,0.3534,0.2897,0.3987,0.3832,0.3823,0.4265,0.423,0.3658,0.3812,0.2614,0.3736,0.3765,0.3498,0.3665461538461538
5,0.3035,0.2897,0.3787,0.3074,0.3418,0.3483,0.3829,0.3,0.3812,0.2598,0.3347,0.3115,0.2913,0.3254461538461539
6,0.2826,0.2381,0.2962,0.3015,0.3139,0.2629,0.3595,0.2558,0.3407,0.2395,0.3028,0.3115,0.2451,0.2884692307692308
7,0.1726,0.2307,0.2949,0.2486,0.2853,0.261,0.3287,0.2144,0.292,0.1968,0.2618,0.2961,0.2451,0.256
